
license_description,bucket
RESTAURANT,Food & Bev
MOBILE FOOD DISPENSER,Food & Bev
MOBILE FOOD PREPARER,Food & Bev
TAVERN,Food & Bev
GROCERY STORE,Food & Bev
BARBER SHOP,Personal Services
BEAUTY SALON,Personal Services
NAIL SALON,Personal Services
MASSAGE ESTABLISHMENT,Personal Services
LAUNDROMAT,Personal Services
CONSULTING SERVICES,Professional
ACCOUNTING SERVICES,Professional
REAL ESTATE BROKER,Professional
INSURANCE AGENCY,Professional
IT SERVICES,Professional
GENERAL CONTRACTOR,Home Services
PLUMBING CONTRACTOR,Home Services
ELECTRICAL CONTRACTOR,Home Services
ROOFER CONTRACTOR,Home Services
HVAC CONTRACTOR,Home Services
